,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
24645,24646,"Leo Plastic Pet Water Bottle - Light Blue, Wide Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,149.0,269.0,Water & Fridge Bottles,3.9,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
24715,24716,"Glass Bottle Ombre Matt Finish - Pink, BB1321","Kitchen, Garden & Pets",Storage & Accessories,DP,249.0,459.0,Water & Fridge Bottles,4.3,"Carry this versatile and modish bottle whenever you go out. The bottle is made of glass, which is durable and is light in weight. The bottle's sleek design makes it fit anywhere in the backpack. It is ideal for students, travellers and people at the jobs. The wide mouth of the bottle makes it easy filling and prove to be perfect on the go bottle. It's perfect to store water, juices, etc."
24858,24859,"Glass Bottle With Plastic Outer - Boy & Girl, BB1316","Kitchen, Garden & Pets",Storage & Accessories,DP,189.0,359.0,Water & Fridge Bottles,5.0,"Keep yourself hydrated by carrying this smart-looking bottle whenever stepping out from the house. The glass body offers excellent finishing with enough durability and strength. It comes with a holder strap, which allows holding with much ease and convenience. This bottle can fit anywhere and is designed to slip into your office bag, purse or sports bag, as this bottle takes up minimal space."
24861,24862,Ivory Premium Glass Bottle - With Snowman,"Kitchen, Garden & Pets",Storage & Accessories,Treo,205.0,205.0,Water & Fridge Bottles,4.5,"Glass has almost zero rates of chemical interaction thus ensures strength, aroma and flavour. Exclusive airtight, leak resistant lid safeguards from spoilage and bacteria.It is ideal for storing milk, juice, water, lassi, cold coffee etc. Treo by Milton is synonymous with elegant and utilitarian glassware, handpicked from the finest furnaces in the world. Created with the perfect cuts to suit Indian tastes, these glass items are made to keep your guests talking while being functional additions to your home."
24863,24864,Sunshine Insulated Water Bottle - Blue,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,219.0,279.0,Water & Fridge Bottles,3.5,This water bottle is of 100% food grade quality and it keeps the water cool with P.U. insulation. It has a comfortable drinking system for kids. Designed to fit in a side pocket or with a belt to carry on the shoulder. It is perfect for your kids to carry it to the school. The stylish bottle comes in different and bright colours to brighten the kids collection.
25142,25143,Glass Water Bottle With Blue Cap - BB1245BLU,"Kitchen, Garden & Pets",Storage & Accessories,DP,279.0,499.0,Water & Fridge Bottles,4.0,Redefine the experience of enjoying various beverages in this captivating looking bottles. The bottle is created using high-quality glass that ensures a classy finish and also offers to be durable yet lightweight features a sleek design that can be fitted anywhere easily. It is hygienic and boasts easy to hold design. Carry anywhere and everywhere with all convenience.
25310,25311,"Printed Glass Water Bottle With Silicon Cover At Bottom - Beige, BB1303","Kitchen, Garden & Pets",Storage & Accessories,DP,249.0,459.0,Water & Fridge Bottles,4.7,"Stay hydrated whenever on the go by carrying this spectacular looking bottle. The bottle is durable, sturdy yet feels light in weight to hold, courtesy its glass body. The bottle features a sleek design with a wide mouth for convenient drinking; also fits easily anywhere in the bag."
25493,25494,"Pet Plastic Water Bottle - Violet, Aster, L3022X6 VL","Kitchen, Garden & Pets",Storage & Accessories,Princeware,189.0,316.0,Water & Fridge Bottles,3.7,"These elegantly designed bottles are easy to carry and pour. The durable, liquid-tight and spill-proof features make it easier to hold and carry. The sharp and bright colours add to the beauty of the bottles."
25623,25624,"Bottle - Bri Glass, With Cover, Yellow & Red Flowers","Kitchen, Garden & Pets",Storage & Accessories,Cello,215.0,215.0,Water & Fridge Bottles,3.5,"Aqua, juice or lemonade, whatever you are going to drink will become special with these bottles and jugs. These bottles have a nice print on them, that will surely make it a celebration."
25645,25646,"Water Bottle - Fridge, Tulip, Green","Kitchen, Garden & Pets",Storage & Accessories,Cello,137.0,137.0,Water & Fridge Bottles,5.0,Cello Tulip fridge bottle is manufactured by Japanese technology and BPA free makes these bottles safe for all beverages. It is beautiful floral designs will make your fridge look prettier. It is made of non-toxic plastic that ensures hygienic drinking. The bottle is light in weight and durable and its sleek design will attracts everyone's attention. It fits snugly in your refrigerator door pockets also one can carry it at the time of travelling as it is light weight and can easily accommodate in a bag. It is available in many attractive colours.
26443,26444,Summer Cool Pet Water Bottle - Assorted,"Kitchen, Garden & Pets",Storage & Accessories,Swastik,189.0,199.0,Water & Fridge Bottles,3.4,"Made from 100% BPA free Virgin PP Material. It helps to keep the liquid fresher and odour free throughout the day. It is spill proof which makes it easy to carry the bottles in your bag without worrying about leakages. Elegant design makes it easy to pour, hold, carry, Refrigerator and Freezer."
26770,26771,"Trendy Stainless Steel Bottle With Steel Cap - Metallic Pink Finish, PXP 1002 BK","Kitchen, Garden & Pets",Storage & Accessories,BB Home,219.0,395.0,Water & Fridge Bottles,3.9,"Now free your environment, and yourself from the unhealthy plastic bottles and get a healthier one-time product for all your needs. These high-grade stainless steel bottles are here to enhance your dining and travelling experience, saving you from the negative effects of plastic. The single-walled steel bottles are perfect add-ons to your kitchen collection if you are looking for light-weighed, durable, classy looking product. The bottle comes with sipper & wide mouth steel cap, catering to double usage. Be it going to the gym, or sending it with the kids to school, the colourful sipper can always make it a very convenient, handy and more importantly a style-statement product. You can take it to the office or just keep on the dinner table. Open the wide mouth lid and use at ease. The bottles come with the major USP of inter-changeable lid facility. Now you can make the same steel cap bottle as a sipper bottle by just interchanging the lids. Hence, get 2 of two-in-one featured bottles of same model and capacities and get the best of both, with a variety of colours!"
26984,26985,Leo Plastic Pet Water Bottle - White Wide Mouth,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,25.0,42.0,Water & Fridge Bottles,4.0,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
27003,27004,"Pet Plastic Water Bottle - Blue, Victoria","Kitchen, Garden & Pets",Storage & Accessories,Princeware,179.0,330.0,Water & Fridge Bottles,3.6,"These elegantly designed bottles are easy to carry and pour. The durable, liquid-tight and spill-proof features make it easier to hold and carry. The sharp and bright colours add to the beauty of the bottles."
27005,27006,Sante Infuser Water Bottle - Black,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,109.0,249.0,Water & Fridge Bottles,3.6,Steelo Sante fruit Infusser Water Bottle is USFDA Approved PET (Polyethylene terrphthalate ).The bottle is made of 100% food grade material & is BPA free which ensures a safe drink.
27208,27209,"Plastic Bottle - Lemon Green, Flip Top, All Fresh Round, 20121LG","Kitchen, Garden & Pets",Storage & Accessories,Ratan,109.0,109.0,Water & Fridge Bottles,3.4,"These bottles come with a flip top and are made of food grade plastic. These bottles come in different colours and designs. These are very easy to carry water or any liquids such as juices, tea, ice tea, etc."
27221,27222,"Glass Bottle With Removable Fabric Cover - Brown, BB1322","Kitchen, Garden & Pets",Storage & Accessories,DP,209.0,389.0,Water & Fridge Bottles,4.5,"Carry this versatile and modish bottle whenever you go out. The glass body of the bottle is durable and is light in weight. The bottle's sleek design makes it fit anywhere in the backpack. It is ideal for students, travellers and people at the jobs. The wide mouth of the bottle makes it easy filling and prove to be perfect on the go bottle."
27512,27513,"Water Bottle - Fridge, Tulip, Dark Blue","Kitchen, Garden & Pets",Storage & Accessories,Cello,109.0,137.0,Water & Fridge Bottles,5.0,Cello Tulip fridge bottle is manufactured by Japanese technology and BPA free makes these bottles safe for all beverages. It is beautiful floral designs will make your fridge look prettier. It is made of non-toxic plastic that ensures hygienic drinking. The bottle is light in weight and durable and its sleek design will attracts everyone's attention. It fits snugly in your refrigerator door pockets also one can carry it at the time of travelling as it is light weight and can easily accommodate in a bag. It is available in many attractive colours.
